K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
6,20,1,1200043,true,0.4438,8.876,1.0000,3.300,10.250,72,1,0,0.000000e+00,true,160.000,1.0000
6,20,2,1200044,true,0.4013,8.027,1.0000,2.400,7.200,48,0,0,0.000000e+00,true,160.000,1.0000
6,20,3,1200045,true,0.4866,9.733,1.0000,3.100,9.550,65,2,0,0.000000e+00,true,160.000,1.0000
6,20,4,1200046,true,0.4033,8.066,1.0000,3.400,10.200,68,0,0,0.000000e+00,true,160.000,1.0000
6,20,5,1200047,true,0.4025,8.049,1.0000,2.400,7.200,48,0,0,0.000000e+00,true,160.000,1.0000
6,20,6,1200048,true,0.3973,7.946,1.0000,4.300,12.900,86,0,0,1.125006e-09,false,148.547,0.9469
6,20,7,1200049,true,0.4012,8.025,1.0000,2.500,7.500,50,0,0,0.000000e+00,true,160.000,1.0000
6,20,8,1200050,true,0.4068,8.137,1.0000,2.500,7.500,50,0,0,0.000000e+00,true,160.000,1.0000
6,20,9,1200051,true,0.3950,7.899,1.0000,3.700,11.100,74,0,0,1.139224e-09,false,147.182,0.9360
6,20,10,1200052,true,0.4048,8.096,1.0000,3.400,10.200,68,0,0,0.000000e+00,true,160.000,1.0000
6,20,11,1200053,true,0.4356,8.713,1.0000,3.000,9.300,65,1,0,0.000000e+00,true,160.000,1.0000
6,20,12,1200054,true,0.4751,9.502,1.0000,2.800,8.600,59,1,0,0.000000e+00,true,160.000,1.0000
6,20,13,1200055,true,0.4004,8.007,1.0000,2.900,8.700,58,0,0,0.000000e+00,true,160.000,1.0000
6,20,14,1200056,true,0.4031,8.061,1.0000,2.000,6.000,40,0,0,0.000000e+00,true,160.000,1.0000
6,20,15,1200057,true,0.4946,9.892,1.0000,2.900,8.950,62,1,0,0.000000e+00,true,160.000,1.0000
6,20,16,1200058,true,0.4062,8.123,1.0000,3.000,9.300,65,1,0,0.000000e+00,true,160.000,1.0000
6,20,17,1200059,true,0.4179,8.357,1.0000,3.000,9.400,67,1,0,0.000000e+00,true,160.000,1.0000
6,20,18,1200060,true,0.3971,7.942,1.0000,2.600,7.800,52,0,0,0.000000e+00,true,160.000,1.0000
6,20,19,1200061,true,0.3979,7.959,1.0000,2.800,8.400,56,0,0,0.000000e+00,true,160.000,1.0000
6,20,20,1200062,true,0.3979,7.958,1.0000,2.500,7.500,50,0,0,0.000000e+00,true,160.000,1.0000
6,20,21,1200063,true,0.3967,7.934,1.0000,3.400,10.200,68,0,0,0.000000e+00,true,160.000,1.0000
6,20,22,1200064,true,0.3987,7.973,1.0000,3.100,9.300,62,0,0,0.000000e+00,true,160.000,1.0000
6,20,23,1200065,true,0.3957,7.914,1.0000,2.600,7.800,52,0,0,0.000000e+00,true,160.000,1.0000
6,20,24,1200066,true,0.4015,8.031,1.0000,2.800,8.400,56,0,0,0.000000e+00,true,160.000,1.0000
6,20,25,1200067,true,0.4597,9.193,1.0000,3.000,9.500,68,2,0,0.000000e+00,true,160.000,1.0000
6,20,26,1200068,true,0.4010,8.020,1.0000,2.000,6.000,40,0,0,0.000000e+00,true,160.000,1.0000
6,20,27,1200069,true,0.3997,7.993,1.0000,2.800,8.400,56,0,0,0.000000e+00,true,160.000,1.0000
6,20,28,1200070,true,0.3877,7.755,1.0000,2.400,7.200,48,0,0,0.000000e+00,true,160.000,1.0000
6,20,29,1200071,true,0.4057,8.113,1.0000,2.000,6.000,40,0,0,0.000000e+00,true,160.000,1.0000
6,40,0,1300042,true,0.4531,9.061,1.0000,5.000,15.125,203,2,0,3.766934e-10,false,154.443,0.9715
6,40,1,1300043,true,0.4025,8.050,1.0000,7.350,22.100,294,2,0,1.884658e-09,false,121.237,0.8185
6,40,2,1300044,true,0.4003,8.006,1.0000,6.500,19.550,260,2,0,6.874976e-10,false,141.968,0.9167
6,40,3,1300045,true,0.4019,8.037,1.0000,5.600,16.825,224,1,0,1.738251e-10,false,152.546,0.9565
6,40,4,1300046,true,0.4401,8.803,1.0000,6.200,18.975,261,2,0,3.746469e-10,false,158.831,0.9989
6,40,5,1300047,true,0.4050,8.100,1.0000,5.000,15.000,200,0,0,0.000000e+00,true,160.000,1.0000
6,40,6,1300048,true,0.5005,10.010,1.0000,5.550,17.225,241,4,0,1.077624e-10,false,156.259,0.9810
6,40,7,1300049,true,0.4150,8.301,1.0000,6.700,20.325,274,3,0,2.222962e-09,false,140.886,0.9041
6,40,8,1300050,true,0.4569,9.139,1.0000,5.650,17.175,232,3,0,5.608848e-10,false,150.376,0.9637
6,40,9,1300051,true,0.4293,8.585,1.0000,6.200,18.900,257,3,0,4.911822e-10,false,151.328,0.9585
6,40,10,1300052,true,0.4025,8.050,1.0000,6.700,20.200,268,4,0,9.132576e-10,false,134.327,0.8665
6,40,11,1300053,true,0.4789,9.578,1.0000,4.850,14.850,204,2,0,8.943704e-11,false,153.346,0.9641
6,40,12,1300054,true,0.5014,10.029,1.0000,5.300,16.275,225,2,0,0.000000e+00,true,160.000,1.0000
6,40,13,1300055,true,0.4024,8.048,1.0000,6.300,18.925,252,1,0,1.069249e-10,false,155.336,0.9829
6,40,14,1300056,true,0.4037,8.073,1.0000,5.700,17.100,228,0,0,1.643078e-10,false,153.132,0.9627
6,40,15,1300057,true,0.4048,8.097,1.0000,7.250,21.800,290,2,0,1.283229e-09,false,137.775,0.9074
6,40,16,1300058,true,0.4046,8.093,1.0000,7.500,22.600,300,4,0,6.544991e-10,false,134.694,0.8650
6,40,17,1300059,true,0.4818,9.636,1.0000,6.500,19.825,270,3,0,9.422592e-10,false,137.833,0.8882
6,40,18,1300060,true,0.4472,8.944,1.0000,6.150,18.800,258,2,0,1.948915e-10,false,153.903,0.9708
6,40,19,1300061,true,0.5260,10.521,1.0000,6.000,18.300,249,3,0,1.193486e-10,false,156.145,0.9768
6,40,20,1300062,true,0.4837,9.675,1.0000,5.400,16.425,223,2,0,5.250513e-11,false,152.222,0.9527
6,40,21,1300063,true,0.4091,8.183,1.0000,6.050,18.400,250,2,0,1.010438e-10,false,155.032,0.9775
6,40,22,1300064,true,0.4627,9.255,1.0000,6.400,19.600,267,5,0,7.977816e-10,false,134.871,0.8781
6,40,23,1300065,true,0.4025,8.049,1.0000,6.900,20.725,276,1,0,2.571869e-10,false,156.914,0.9918
6,40,24,1300066,true,0.4239,8.478,1.0000,5.850,17.725,240,1,0,9.269487e-10,false,142.700,0.9168
6,40,25,1300067,true,0.4209,8.418,1.0000,6.200,19.000,259,5,0,9.890381e-10,false,134.075,0.8579
6,40,26,1300068,true,0.4015,8.030,1.0000,5.700,17.100,228,0,0,0.000000e+00,true,160.000,1.0000
6,40,27,1300069,true,0.4007,8.013,1.0000,5.200,15.600,208,0,0,0.000000e+00,true,160.000,1.0000
